Row_Number,Reference_Link,Company_Name,Website_URL,Domain,Status
1,https://www.typeform.com/agencies/desborough-consulting-group-inc,Desborough Consulting Group Inc.,https://desboroughgroup.com,desboroughgroup.com,success
2,https://www.typeform.com/agencies/six-flow,Six & Flow,https://www.sixandflow.com/,sixandflow.com,success
3,https://www.typeform.com/agencies/avidly,Avidly,https://www.avidlyagency.com/,avidlyagency.com,success
4,https://www.typeform.com/agencies/mbodi-technologies-pty-ltd,MBODI Technologies Pty Ltd,https://mboditechnologies.co.za/,mboditechnologies.co.za,success
5,https://www.typeform.com/agencies/colorwhistle,ColorWhistle,https://colorwhistle.com,colorwhistle.com,success
6,https://www.typeform.com/agencies/bendt-consulting,Bendt Consulting,https://bendtconsulting.de/,bendtconsulting.de,success
7,https://www.typeform.com/agencies/virtuoso-digital,Virtuoso Digital,https://www.virtuosodevs.com,virtuosodevs.com,success
8,https://www.typeform.com/agencies/soma-consulting,Soma Consulting,https://www.soma.consulting/,soma.consulting,success
9,https://www.typeform.com/agencies/notre,NOTRE,https://notre.agency,notre.agency,success
10,https://www.typeform.com/agencies/spark-pony-creative,Spark & Pony Creative,https://www.sparkandpony.com/,sparkandpony.com,success
11,https://www.typeform.com/agencies/fire-bird-digital,Fire Bird Digital,https://www.fire-bird.digital,fire-bird.digital,success
12,https://www.typeform.com/agencies/amit-sarda,Amit Sarda,https://www.amitsarda.xyz,amitsarda.xyz,success
13,https://www.typeform.com/agencies/aspect-marketing,Aspect Marketing,https://www.thisisaspect.com,thisisaspect.com,success
14,https://www.typeform.com/agencies/1-bold-step,1 Bold Step,https://1boldstep.com/,1boldstep.com,success
15,https://www.typeform.com/agencies/desborough-consulting-group-inc,Desborough Consulting Group Inc.,https://desboroughgroup.com,desboroughgroup.com,success
16,https://www.typeform.com/agencies/t4-research,T4 Research,https://t4resear.ch,t4resear.ch,success
17,https://www.typeform.com/agencies/house-6-designs,House 6 Designs,https://www.house6designs.com/,house6designs.com,success
18,https://www.typeform.com/agencies/wavai-technology-llc,Wavai Technology LLC,https://www.wavai.ae,wavai.ae,success
19,https://www.typeform.com/agencies/rocket-launch-media,Rocket Launch Media,https://rocketlaunchmedia.com,rocketlaunchmedia.com,success
20,https://www.typeform.com/agencies/keva-epale-studio,Keva Epale Studio,https://kevaepalestudio.webflow.io/,kevaepalestudio.webflow.io,success
21,https://www.typeform.com/agencies/42-agency,42 Agency,https://www.42agency.com/,42agency.com,success
22,https://www.typeform.com/agencies/motivation-digital,Motivation Digital,https://www.motivation.digital,motivation.digital,success
23,https://www.typeform.com/agencies/hellenic-technologies,Hellenic Technologies,https://hellenictechnologies.com,hellenictechnologies.com,success
24,https://www.typeform.com/agencies/bayard-bradford,Bayard Bradford,https://bayardbradford.com,bayardbradford.com,success
25,https://www.typeform.com/agencies/primo-studio,Primo Studio,https://primostudio.com,primostudio.com,success
26,https://www.typeform.com/agencies/juice,Juice,http://juice.cg,juice.cg,success
27,https://www.typeform.com/agencies/bash-foo,Bash Foo,https://bashfoo.com,bashfoo.com,success
28,https://www.typeform.com/agencies/groupe-mercure,Groupe Mercure,https://www.groupemercure.ca,groupemercure.ca,success
29,https://www.typeform.com/agencies/brxtn-mktg,BRXTN MKTG,https://www.brxtnmktg.com/,brxtnmktg.com,success
30,https://www.typeform.com/agencies/arisegtm,AriseGTM,https://arisegtm.com,arisegtm.com,success
31,https://www.typeform.com/agencies/ai-scout-solutions,AI Scout Solutions,https://aiscout.net/solutions/,aiscout.net,success
32,https://www.typeform.com/agencies/starapple-ai,StarApple AI,https://starapple.ai/,starapple.ai,success
33,https://www.typeform.com/agencies/alce,ALCE,https://alce.rocks,alce.rocks,success
34,https://www.typeform.com/agencies/2be-studios,2be Studios,https://www.2-be.co/,2-be.co,success
35,https://www.typeform.com/agencies/binary-mango,Binary Mango,https://www.binarymango.com,binarymango.com,success
36,https://www.typeform.com/agencies/six-flow,Six & Flow,https://www.sixandflow.com/,sixandflow.com,success
37,https://www.typeform.com/agencies/maypop-creative-studio,Maypop Creative Studio,https://www.maypopcreativestudio.com,maypopcreativestudio.com,success
38,https://www.typeform.com/agencies/asphia-consulting,Asphia Consulting,https://asphia.consulting/,asphia.consulting,success
39,https://www.typeform.com/agencies/avidly,Avidly,https://www.avidlyagency.com/,avidlyagency.com,success
40,https://www.typeform.com/agencies/black-fox-creative,Black Fox Creative,http://www.blackfox.nz,blackfox.nz,success
41,https://www.typeform.com/agencies/craft-digital-ai,Craft Digital Ai,https://www.craftdigital.ai,craftdigital.ai,success
42,https://www.typeform.com/agencies/empowercx-consulting,EmpowerCX Consulting,https://empower-cx.com,empower-cx.com,success
43,https://www.typeform.com/agencies/bam-digital,BAM Digital,https://bamdigital.io,bamdigital.io,success
44,https://www.typeform.com/agencies/makebuild,MakeBuild,https://makebuild.studio?utm_source=typeform-partner,makebuild.studio,success
